Case.Number,OBJECTID,Part,Description,zoning_old,zoning_new,acres,n_sfd,n_sfa,n_mfd,n_unknown,n_affordable,n_age_restrict
PLN2012-00023,63442,,"REZ - REZONE 3.21 ACRES FROM R-16, SUBURBAN RESIDENTIAL TO V, VILLAGE FOR MIXED USE DEVELOPMENT. CONCURRENT WITH CPA #PLN2011-00350, URM TO VMU AND SUP #PLN2012-00025 FOR MODIFICATIONS TO DEVELOPMENT STANDARDS DESCRIBED IN SEC. 32-351.08",R-16,V,3.21,,,,,,
PLN2012-00153,12865,,"VIRGINIA CRANE RENTAL, INC. (2.76 AC FROM A-1 TO M-1); REC",A-1,M-1,2.76,,,,,,
PLN2012-00202,30595,,"REZ - WOODBRIDGE MEDICAL OFFICE PROPERTY - TO REZONE 0.3994 SECTION OF PROPERTY FROM A-1 TO O(L) - TO ALLOW FOR ADDITIONAL PARKING - THE PROPERTY IS LOCATED ON THE WEST SIDE OF ROUTE 1, AT THE NORTHWEST CORNER OF ROUTE 1 AND DELAWARE DRIVE - PROPERTY IS SPLIT ZONED, PART OF THE PROPERTY IS AGRICULTURAL (A-1) ANOTHER PART OF THE PROPERTY IS OFFICE LOW-RISE (OL) - LONG RANGE LAND USE DESIGNATION OF OFFICE (O)",A-1,O(L),0.4,,,,,,
PLN2012-00238,,,REZ#PLN2005-00232-PLANNING DIRECTOR MODIFICATION FOR KENSINGTON PLACE,,,,,,,,,
PLN2012-00306,28600,,"REZ - REZONE 14.7394 ACRES FROM A-1 TO R-4 - 39 LOT SINGLE FAMILY DETACHED HOME RESIDENTIAL DEVELOPMENT - LOCATED ON THE NORTHERN SIDE OF WEBSTERS WAY, APPROXIMATELY 1200 FEET SOUTHWEST OF ITS INTERSECTION WITH HOADLY ROAD AND JESSICA RIDGE WAY - WITHIN THE HOADLY ROAD HIGHWAY CORRIDOR OVERLAY DISTRICT, HCOD - ZONED AGRICULTURAL, A-1 - COMPREHENSIVE PLAN LONG RANGE LAND USE DESIGNATION OF SUBURBAN RESIDENTIAL LOW, SRL - ",A-1,R-4,14.7,39,,,,,
PLN2012-00369,32782,,REZONING - GPIN 7897-32-1354 AND 7897-32-1663 FROM R-4 TO B-1.,R-4,B-1,,,,,,,
PLN2012-00371,,,REZ MANASSAS FAMILY DENTAL CARE CENTER; A-1 TO O(M); FEC & REC,A-1,O(M),,,,,,,
PLN2012-00420,44931,,"REZ - POTOMAC SHORES - TO REZONE 1885.46 ACRES FROM A-1, SR-1, PMR, PBD, PMD, AND M-1 TO PMR, PLANNED MIXED RESIDENTIAL, AND PMD, PLANNED MIXED DISTRICT - THIS REZONING ALSO AMENDS THE PROFFERS FROM PLN2000-00077, PLN2000-00078, PLN2010-00454, PLN2010-00455 - LOCATED ON THE CHERRY HILL PENINSULA, GENERALLY EAST OF THE INTERSECTION OF RIVER HERITAGE BOULEVARD AND HARBOR STATION PARKWAY - ","A-1, SR-1, PMR, PBD, PMD, M-1","PMR, PMD",1885.5,,,,,,
PLN2012-00420,44941,,"REZ - POTOMAC SHORES - TO REZONE 1885.46 ACRES FROM A-1, SR-1, PMR, PBD, PMD, AND M-1 TO PMR, PLANNED MIXED RESIDENTIAL, AND PMD, PLANNED MIXED DISTRICT - THIS REZONING ALSO AMENDS THE PROFFERS FROM PLN2000-00077, PLN2000-00078, PLN2010-00454, PLN2010-00455 - LOCATED ON THE CHERRY HILL PENINSULA, GENERALLY EAST OF THE INTERSECTION OF RIVER HERITAGE BOULEVARD AND HARBOR STATION PARKWAY - ","A-1, SR-1, PMR, PBD, PMD, M-1",,,,,,,,
PLN2013-00011,20257,,"REZ - GLASS PROPERTY REZONING - TO REZONE 10.057 ACRES FROM AGRICULTURAL, A-1 TO RESIDENTIAL, R-4 - TO PERMIT THE DEVELOPMENT OF 20 SINGLE FAMILY DETACHED HOMES - THE PARCELS ARE LOCATED AT 4532, 4536, 4608 AND 4614 ASDEE LANE, ON THE NORTH SIDE OF ASDEE LANE, IMMEDIATELY NORTH OF THE INTERSECTION OF ASDEE LANE AND COVENTRY GLEN DRIVE",A-1,R-4,10.06,20,,,,,
PLN2013-00040,66366,,"REZ - BRADLEY SQUARE - TO REZONE 21.491 ACRES FROM A-1, AGRICULTURAL TO R-6, RESIDENTIAL FOR 124 SINGLE-FAMILY ATTACHED DWELLING UNITS - LOCATED ON THE EAST SIDE OF DUMFRIES ROAD (ROUTE 234), APPROXIMATELY 1200 FEET SOUTH OF THE DUMFRIES ROAD/OLD DOMINION DRIVE INTERSECTION - ZONED A-1, AGRICULTURAL - LONG RANGE LAND USE DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER - WITHIN THE DUMFRIES ROAD HIGHWAY CORRIDOR OVERLAY DISTRICT ",A-1,R-6,21.49,124,,,,,
PLN2013-00046,59971,,"REZ-FEATHERSTONE SQUARE- TO REZONE 8.66 ACRES FROM R-4, RESIDENTIAL & B-1, GENERAL COMMERCIAL TO PMR, PLANNED MIXED RESIDENTIAL-TO INCLUDE 29 TOWNHOUSES AND 114 MULTI-FAMILY UNITS-NORTH SIDE OF FEATHERSTONE RD, BETWEEN JEFF DAVIS HWY AND COLCHESTER ROAD; APPROX. 180 FT EAST OF THE ROUTE 1/FEATHERSTONE RD INTERSECTION-COMPREHENSIVE PLAN LAND USE DESIGNATION UMU, URBAN MIXED USE AND IS A PART OF POTOMAC COMMUNITIES NEABSCO MILLS STUDY AREA  ","R-4, B-1",PMR,8.66,,29,114,,,
PLN2013-00080,,,"REZ - REQUEST TO REZONE +/- 102 ACRES FROM A-1, AGRICULTURE TO PMR, PLANNED MIXED RESIDENTIAL FOR AN AGE-RESTRICTED COMMUNITY WITH A MAX. OF 208 SINGLE FAMILY DETACHED HOMES. FILED CONCURRENTLY WITH CPA BELL PROPERTY, #PLN2012-00229. ",A-1,PMR,102,,,,,,
PLN2013-00101,41394,,REZ WOODLAND FARMS (57.2 ACRES FROM A-1 TO SR-1); SRR,A-1,SR-1,57.2,,,,,,
PLN2013-00113,1813,,REZ CONTRACTORS COURT (10.75 ACRES M-1 TO M/T; EI),M-1,M/T,10.75,,,,,,
PLN2013-00115,62612,,"JOHN MARSHALL COMMONS - TO REZONE +/- 27.7 ACRES FROM A-1, AGRICULTURAL AND M-2, LIGHT INDUSTRIAL, TO V, VILLAGE, TO CONSTRUCT 144 SINGLE FAMILY ATTACHED (TOWNHOME) RESIDENTIAL UNITS (94 TOWNHOUSE UNITS & 50 AGE-RESTRICTED TOWNHOUSE UNITS) AND ALLOW FOR USES PERMITTED IN THE V, VILLAGE ZONING DISTRICT.","A-1, M-2",V,29.7,,94,,,,50
PLN2013-00178,12264,,"HOADLY FALLS, PHASE II - REZ#PLN2013-00178 -  TO REZONE 28.18 ACRES OF THE 46.17 ACRE PARCEL FROM A-1, AGRICULTURE TO SR-1, SEMI-RURAL RESIDENTIAL WITH CLUSTER OPTION TO INCLUDE 15 SINGLE FAMILY HOMES - LOCATED ON THE NORTH SIDE OF PRINCE WILLIAM PARKWAYAPPROXIMATELY 1,500 FEET WEST OF THE INTERSECTION OF PRINCE WILLIAM PARKWAY AND HOADLY ROAD - ZONED, A-1, AGRICULTURE - LONG RANGE LAND USE DESIGNATION, SRR, SEMI RURAL RESIDENTIAL - WITHIN THE PRINCE WILLIAM PARKWAY HIGHWAY OVERLAY DISTRICT",A-1,SR-1,28.18,15,,,,,
PLN2013-00251,7385,,REZ KEBAISH PROPERTY; M-2 TO O(F); REC; IN TEOD; PART OF INNOVATION SECTOR PLAN,M-2,O(F),,,,,,,
PLN2013-00256,51630,,"REZ - BARNES GOODMAN PROPERTY - TO REZONE 8.85 ACRES FROM A-1, AGRICULTURAL TO R-4, RESIDENTIAL FOR 13 SINGLE FAMILY DETACHED HOMES, 12 TO BE BUILT AND THE PRESERVATION OF EXISTING HOUSE - LOCATED ON THE EAST SIDE OF SPRIGGS ROAD APPROXIMATELY 150 FEET SOUTH OF THE SPRIGGS ROAD/MINNIEVILLE ROAD INTERSECTION - ZONED A-1, AGRICULTURAL - LONG RANGE LAND USE DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW - LOCATED WITHIN THE SPRIGGS ROAD AND MINNIEVILLE ROAD HIGHWAY CORRIDOR OVERLAY DISTRICTS",A-1,R-4,8.85,12,,,,,
PLN2013-00291,,,REZ THE HAVEN AT HAYMARKET CROSSING,,,,,,,,,
PLN2013-00323,,,"REZ AMC ENTERPRISES, LLC (A-1 TO M-2); FEC; WITHIN AIRPORT SAFETY OVERLAY DISTRICT",A-1,M-2,,,,,,,
PLN2013-00329,39472,,SILLS PROPERTY/HORNBAKER INDUSTRIAL PARK,,,,,,,,,
PLN2013-00372,65576,1,"RESERVE AT CANNON BRANCH (REZONE 9.1 AC FROM B-2, NEIGHBORHOOD BUSINESS, & 5.3 AC FROM A-1, AGRICULTURAL, TO R-4, SUBURBAN RESIDENTIAL (CLUSTER) ",B-2,R-4,9.1,,,,,,
PLN2013-00373,1784,,"REZ - FIRST MOUNT ZION BAPTIST CHURCH - TO REZONE A PORTION OF 8.35 ACRES PARCEL FROM M-2, LIGHT INDUSTRIAL TO B-1, GENERAL COMMERCIAL, TO PERMIT FUTURE CHURCH, CHURCH RELATED AND/OR OFFICE USES - LOCATED AT 16622 DUMFRIES ROAD, IMMEDIATELY SOUTHEAST OF THE INTERSECTION OF DUMFRIES ROAD AND FOUR SEASONS DRIVE AND APPROXIMATELY 650 FEET NORTHEAST OF THE INTERSECTION OFDUMFRIES ROAD AND TALON DRIVE - ZONED R-4, RESIDENTIAL, M-2, LIGHT INDUSTRIAL, AND B-1, GENERAL BUSINESS. THIS REZONING REQUEST ONLY APPLIES TO THE PORTION OF THE SITE ZONED M-2, LIGHT INDUSTRIAL - LONG RANGE LAND USE DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, AND NC, NEIGHBORHOOD COMMERCIAL. THIS REZONING REQUEST ONLY APPLIES TO THE PORTION OF THE SITE DESIGNATED NC, NEIGHBORHOOD COMMERCIAL. LOCATED WITHIN THE DUMFRIES ROAD (RT. 234) HIGHWAY CORRIDOR OVERLAY DISTRICT.",M-2,B-1,8.35,,,,,,
PLN2013-00384,,,"PIONEER ASSEMBLAGE - TO REZONE +/-197 ACRES FROM A-1, AGRICULTURAL, TO PMR, PLANNED MIXED RESIDENTIAL; SRR; CONCURRENT WITH CPA #PLN2010-00404 (SRR, SEMI-RURAL RESIDENTIAL, TO SRL, SUBURBAN RESIDENTIAL LOW)",A-1,PMR,197,,,,,,
PLN2014-00020,56116,,"REZ - HERITAGE CROSSING - TO REZONE 15.8 ACRES FROM, B-1, GENERAL BUSINESS, TO PMR, PLANNED MIXED RESIDENTIAL - TO PROVIDE 102 CITY HOMES, 4.7 ACRES OF OPEN SPACE AND 4.0 ACRES OF COMMERCIAL USES - LONG RANGE LAND USE IS GC, GENERAL COMMERCIAL - THERE IS A COMPREHENSIVE PLAN AMENDMENT, #PLN2013-00064 TO CREATE SRH, SUBURBAN RESIDENTIAL HIGH - LOCATED NORTH OF THE INTERSECTION OF SUNNYGATE DRIVE AND SUDLEY ROAD.",B-1,PMR,15.8,,,,102,,
PLN2014-00040,53238,1,"BLACKBURN - REZ - REZONE 128.4 ACRES FROM A-1, AGRICULTURAL, TO PMD, PLANNED MIXED USE DISTRICT (51.67 ACRES) AND TO PMR, PLANNED MIXED RESIDENTIAL (76.67 ACRES); REC & SRH.",A-1,"PMD, PMR",128.4,,,,,,
PLN2014-00040,70213,1,"BLACKBURN - REZ - REZONE 128.4 ACRES FROM A-1, AGRICULTURAL, TO PMD, PLANNED MIXED USE DISTRICT (51.67 ACRES) AND TO PMR, PLANNED MIXED RESIDENTIAL (76.67 ACRES); REC & SRH.",A-1,"PMD, PMR",,,,,,,
PLN2014-00041,66369,,"THE RESERVE AT LONG FOREST - THIS IS A REQUEST TO REZONE 131.89 ACRES FROM A-1, AGRICULTURAL, TO SR-1C, SEMI-RURAL RESIDENTIAL, WITH CLUSTER OPTION, TO DEVELOP UP TO 65 LOTS WITH SINGLE-FAMILY DETACHED RESIDENTIAL DWELLINGS.  THE SITE IS LOCATED SOUTH AND EAST OF BIRMINGHAM DRIVE, EAST OF SIGNAL HILL ELEMENTARY SCHOOL, AND NORTH OF THE TERMINUS OF HANBACK DRIVE.  THE SUBJECT SITE IS IDENTIFIED ON COUNTY MAPS WITH THE FOLLOWING GPINS:    7895-76-7645 (PORTION); 7895-86-8190 (PORTION); 7895-96-5568; AND 7895-97-8331.  THE PROPERTY IS CURRENTLY DESIGNATED SRR, SEMI-RURAL RESIDENTIAL, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DOMESTIC FOWL OVERLAY DISTRICT.  COLES MAGISTERIAL DISTRICT.",A-1,SR-1C,131.89,65,,,,,
PLN2014-00095,42359,,"CASEY'S CORNER (REZONE 6.15 AC FROM M-1, HEAVY INDUSTRIAL, TO B-1, GENERAL BUSINESS) CONCURRENT WITH SUP FOR SHEETZ; EI",M-1,B-1,6.15,,,,,,
PLN2014-00097,,,"LONGPOINTE, REZ PLN2014-00097:(21.8 ACRES FROM A-1 AND M-1 TO PMD, PLANNED MIXED USE DISTRICT)","A-1, M-1",PMD,21.8,,,,,,
PLN2014-00099,,,"KNIGHTSBRIDGE - REZ#PLN2014-00099 (2.07 ACRES FROM A-1 TO R-16, RESIDENTIAL)",A-1,R-16,2.07,,,,,,
PLN2014-00127,,1,"STONE HAVEN - REQUEST TO REZONE +/- 717.9 AC FROM A-1 TO PBD (281.5 AC) AND TO PMR (436.4 AC);  FEC; CONCURRENT WITH CPA#2013-00186, STONE HAVEN",A-1,PBD,281.5,,,,,,
PLN2014-00127,,2,"STONE HAVEN - REQUEST TO REZONE +/- 717.9 AC FROM A-1 TO PBD (281.5 AC) AND TO PMR (436.4 AC);  FEC; CONCURRENT WITH CPA#2013-00186, STONE HAVEN",A-1,PMR,436.4,,,,,,
PLN2014-00187,,,GRANT AVENUE ASSEMBLAGE REZ#PLN2014-00187 - (21.29 ACRES FROM A-1 TO PMR); SRL/ER (SUPERSEDED BY REZ#2016-00003),A-1,PMR,21.29,,,,,,
PLN2014-00190,58370,1,"CARTER'S MILL; REZ (FORMERLY KNOWN AS MIDWOOD - REZ) THIS IS A REQUEST TO REZONE +/- 128.26 ACRES TO PMR, PLANNED MIXED RESIDENTIAL. CURRENTLY, +/- 74.35 ACRES OF THE PROPERTY IS ZONED PBD, PLANNED BUSINESS DISTRICT, WHILE  +/- 53.91 ACRES IS ZONED A-1, AGRICULTURAL.  THE SITE IS CURRENTLY DESIGNATED CEC/REC/ER
THIS APPLICATION IS CONCURRENT WITH CPA #PLN2013-00182 MIDWOOD CENTER PROPERTY TO CHANGE LONG-RANGE LAND USE DESIGNATION FROM CEC/REC/ER TO SRM/ER",PBD,PMR,74.35,,,,,,
PLN2014-00190,58370,2,"CARTER'S MILL; REZ (FORMERLY KNOWN AS MIDWOOD - REZ) THIS IS A REQUEST TO REZONE +/- 128.26 ACRES TO PMR, PLANNED MIXED RESIDENTIAL. CURRENTLY, +/- 74.35 ACRES OF THE PROPERTY IS ZONED PBD, PLANNED BUSINESS DISTRICT, WHILE  +/- 53.91 ACRES IS ZONED A-1, AGRICULTURAL.  THE SITE IS CURRENTLY DESIGNATED CEC/REC/ER
THIS APPLICATION IS CONCURRENT WITH CPA #PLN2013-00182 MIDWOOD CENTER PROPERTY TO CHANGE LONG-RANGE LAND USE DESIGNATION FROM CEC/REC/ER TO SRM/ER",A-1,PMR,53.91,,,,,,
PLN2014-00194,12712,,DEVLIN GROVE - REZ - (1.1736 ACRES FROM A-1 TO R-4); SRL,A-1,R-4,1.17,,,,,,
PLN2014-00225,15690,,"REZ - CUSHING ROAD (REZONE 31.72 AC FROM M-2, LIGHT INDUSTRIAL, TO M/T, INDUSTRIAL TRANSPORTATION)",M-2,M/T,31.72,,,,,,
PLN2014-00231,64721,,"CAYDEN RIDGE; TO REZONE 57.53 ACRES FROM A-1, AGRICULTURAL, TO PMR, PLANNED MIXED RESIDENTIAL, TO DEVELOP A MAXIMUM OF 149 SINGLE-FAMILY DETACHED UNITS. THE SITE IS LOCATED NORTH OF SIGNAL HILL RD AND EAST OF THE TERMINUS OF RICHMOND AVE, IS ADDRESSED AS 8100 SIGNAL HILL RD, AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7895-38-8071.  THE SITE IS CURRENTLY DESIGNATED O, OFFICE, SRL, SUBURBAN RESIDENTIAL LOW, AND ER, ENVIRONMENTAL RESOURCE IN THE COMPREHENSIVE PLAN (CONCURRENT WITH CPA #PLN2014-00227).  COLES MAGISTERIAL DISTRICT",A-1,PMR,57.53,149,,,,,
PLN2014-00276,49715,,"TO REZONE +/- 7.72 ACRES FROM A-1, AGRICULTURAL TO O(M), OFFICE MID RISE TO ALLOW CONSTRUCTION AND OPERATION OF A BY-RIGHT RELIGIOUS INSTITUTION AND RELATED FACILITIES INCLUDING A CHILD CARE SECONDARY USE.  THE SITE IS ADDRESSED AS 2509 CATON HILL ROAD, WOODBRIDGE, VA 22192. THE SITE IS LOCATED ON THE SOUTH SIDE OF CATON HILL ROAD APPROXIMATELY 1000 FEET WEST OF THE INTERSECTION OF CATON HILL ROAD/TELEGRAPH ROAD, AND IS IDENTIFIED AS GPIN 8292-74-5941, IS DESIGNATED REC, REGIONAL EMPLOYMENT CENTER IN THE COMPREHENSIVE PLAN  AND IS NOT LOCATED WITHIN ANY HIGHWAY CORRIDOR OVERLAY DISTRICT. OCCOQUAN MAGISTERIAL DISTRICT.",A-1,O(M),7.72,,,,,,
PLN2014-00303,,,AMC ENTERPRISES LLC. - REZ; REZONE 1.0 ACRE FROM A-1 TO M-1; FEC,A-1,M-1,1,,,,,,
PLN2014-00312,46514,,"MALLARD'S OVERLOOK NORTH (FORMERLY MALLARD'S LANDING) - REZ - REZONE 30.0 ACRES FROM A-1 TO SR-1 CLUSTER, SRR- SEMI-RURAL RESIDENTIAL",A-1,SR-1C,30,,,,,,
PLN2014-00316,64727,1,"REZ - RICHMOND STATION (REZONE 9.55 AC FROM PBD TO PMR, 1.3 AC FROM M-1 TO PMR & 17.1 AC FROM M-1/M-2 TO PMR)",PBD,PMR,0.955,,,,,,
PLN2014-00316,64727,2,"REZ - RICHMOND STATION (REZONE 9.55 AC FROM PBD TO PMR, 1.3 AC FROM M-1 TO PMR & 17.1 AC FROM M-1/M-2 TO PMR)",M-1,PMR,1.3,,,,,,
PLN2014-00316,64727,3,"REZ - RICHMOND STATION (REZONE 9.55 AC FROM PBD TO PMR, 1.3 AC FROM M-1 TO PMR & 17.1 AC FROM M-1/M-2 TO PMR)","M-1, M-2",PMR,17.1,,,,,,
PLN2014-00342,,,"9?13/2017MINNIEVILLE COMMERCIAL, REZ#PLN2014-00342 - (REZONE 5.54 AC FROM A-1, AGRICULTURAL, AND B-1, GENERAL BUSINESS TO O(L), OFFICE LOW-RISE) CONCURRENT WITH SUP FOR FORECLOSURE DEVELOPMENT COMPANY (BANK DRIVE-THROUGH)","A-1, B-1",O(L),5.54,,,,,,
PLN2014-00374,46513,,MALLARD'S OVERLOOK SOUTH - REZ - REZ 77.5 AC FROM A-1 TO SR-1C; SRR & CR,A-1,SR-1C,77.5,,,,,,
PLN2015-00057,,,"NEW DOMINION SQUARE AMENDMENT, REZ#PLN2015-00057,  REZONE 1.15 ACRES FROM A-1 TO PMR (ADDING ONTO THE EXISTING NEW DOMINION SQUARE PMR OF 40.23 ACRES), MINOR AMENDMENTS TO THE REZ #PLN2011-00268 PROFFERS, BASED OFF CPA #PLN2014-00207 INITIATED IN MARCH 2014; CEC, COMMUNITY EMPLOYMENT CENTER",A-1,PMR,1.15,,,,,,
PLN2015-00068,,,"REZ - REQUEST TO REZONE FROM M-1, HEAVY INDUSTRIAL, TO O(M), OFFICE MID-RISE FOR RELIGIOUS INSTITUTION WITH RELATED FACILITIES & SIGN MODIFICATION",M-1,O(M),,,,,,,
PLN2015-00096,71077,,REZ-YOUTH FOR TOMORROW/STADLER PROPERTY (REZ 0.9516 FROM A-1 TO B-1; AMEND PROFFER PLN2010-00397 TO ADD ADITIONAL ACREAGE),A-1,B-1,0.95,,,,,,
PLN2015-00097,,,"REZ, DOMINION HUNT, REZONE 51.79643 ACRES FROM A-1 TO SR-1C;SRR, SEMI-RURAL RESIDENTIAL.",A-1,SR-1C,51.8,,,,,,
REZ2015-20000,,,"DC PADDOCK LLC - REZONE 1.84 ACRES FROM M-2, LIGHT INDUSTRIAL, TO M-T, INDUSTRIAL TRANSPORTATION; EI.",M-2,M/T,1.84,,,,,,
REZ2015-20001,51636,,IMMANUEL ANGLICAN CHURCH; TO REZONE +/- 11.34 ACRES FROM A-1 TO SR-1  ,A-1,SR-1,11.34,,,,,,
REZ2015-20002,12504,,"REZ; WOLF RUN INDUSTRIAL; TO REZONE +/- 17.5 ACRES FROM A-1 TO M-1; ZONED A-1, AGRICULTURAL; PLANNED AS FEC, FLEXIBLE USE EMPLOYMENT CENTER, AND ER, ENVIRONMENTAL RESOURCE",A-1,M-1,17.5,,,,,,
REZ2015-20003,60614,,"WOODBORNE PRESERVE (FORMERLY KNOWN AS WOODBOURNE; MERGED WITH DOMINION HUNT REZ #PLN2015-00097) - REZ - TO REZONE 88.25 ACRES FROM A-1, AGRICULTURAL, TO SR-1, SEMI-RURAL RESIDENTIAL CLUSTER, TO ALLOW FOR THE DEVELOPMENT OF 56 SINGLE-FAMILY DETACHED DWELLING UNITS; THE SITE IS DESIGNATED AS SRR, SEMI-RURAL RESIDENTIAL, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN.",A-1,SR-1,88.25,56,,,,,
REZ2015-20004,62210,,"ROSEBERRY II; THIS IS A REQUEST TO REZONE 3.99 ACRES FROM A-1, AGRICULTURAL, TO R-4, SUBURBAN RESIDENTIAL, TO DEVELOP UP TO 7 LOTS FOR SINGLE-FAMILY DETACHED RESIDENTIAL.  THE SITE IS LOCATED 0.3 MILES NORTHEAST OF THE INTERSECTION OF BIRMINGHAM DRIVE AND SIGNAL HILL ROAD, AND ON THE NORTH SIDE OF BIRMINGHAM DRIVE. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 7895-67-7490, 7895-67-8666 AND 7895-77-0262 AND IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN.  COLES MAGISTERIAL DISTRICT",A-1,R-4,3.99,7,,,,,
REZ2015-20005,69812,,"CABELA'S REZONING - TO REZONE 13.3003 ACRES FROM M-1, HEAVY INDUSTRIAL, AND A-1, AGRICULTURAL, TO B-1, GENERAL BUSINESS, TO PERMIT RETAIL USES; EI.","M-1, A-1",B-1,13.3,,,,,,
REZ2015-20006,12181,,"REZONING OF APPROXIMATELY 4.37 ACRES FROM A1, AGRICULTURE TO B1, GENERAL BUSINESS TO BE USED AS A FULL SERVICE BOAT AND RECREATIONAL VEHICLE CENTER. SERVICES PROVIDED AT THE CENTER WILL INCLUDE THE SALE AND RENTAL OF BOATS AND RECREATIONAL VEHICLES AND COMMERCIAL PARKING. A SPECIAL USE PERMIT APPLICATION (SUP2015-20009) WILL RUN CONCURRENT WITH THIS REZONING APPLICATION.",A-1,B-1,4.37,,,,,,
REZ2015-20011,13086,,"ACT WELLNESS CENTER; REQUEST TO REZONE  1.96 ACRES FROM A-1, AGRICULTURAL, TO O (L), OFFICE-LOW RISE. THE PROPERTY CONTAINS AN EXISTING RESIDENTIAL HOUSE THAT WILL BE REUSED TO PERMIT A MEDICAL CLINIC USE. THE APPLICANT HAS REQUESTED A WAIVER FOR CURB AND GUTTER REQUIREMENTS, DETAILED IN THE WAIVER APPLICATION. THE SITE IS LOCATED AT 14111 MINNIEVILLE ROAD NEAR THE INTERSECTION OF DALE BOULEVARD AND MINNIEVILLE ROAD. THE SITE IS IDENTIFIED ON COUNTY MAPPER AS GPIN 8192-60-4882, IS DESIGNATED O, OFFICE, IN THE COMPREHENSIVE PLAN. THE SITE IS LOCATED IN THE MINNIEVILLE ROAD HIGHWAY CORRIDOR OVERLAY DISTRICT. NEABSCO MAGISTERIAL DISTRICT.",A-1,O(L),1.96,,,,,,
REZ2016-00001,53230,,"WILSONS CORNER; REQUEST TO REZONE THE PROPERTY FROM A-1 (AGRICULTURAL) AND R-4 TO R-4 (4 DWELLINGS PER 1 ACRE) TO SUBDIVIDE A TWO ACRE PARCEL TO ALLOW THREE SINGLE FAMILY DWELLINGS.  THE PROPERTY IS LOCATED 8109 SIGNAL HILL ROAD, APPROXIMATELY 200 YARDS EAST OF INTERSECTION OF LIBERIA AVENUE AND SIGNAL HILL ROAD.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 7895-37-2724, IS ZONED A-1 (AGRICULTURAL) AND R-4 (4 DWELLINGS PER 1 ACRE), AND IS DESIGNATED SRL (SUBURBAN RESIDENTIAL LOW), AND THE COMPREHENSIVE PLAN. COLES MAGESTERIAL DISTRICT.","A-1, R-4",R-4,2,3,,,,,
REZ2016-00004,49713,,"GAINSFORD COURT; TO REZONE +/- 2.02 ACRES FROM M-2 TO M-1; ZONED M-2, LIGHT INDUSTRIAL; EI, INDUSTRIAL EMPLOYMENT",M-2,M-1,2.02,,,,,,
REZ2016-00005,27619,,"RANDOLPH RIDGE - EGG LIMITED PARTNERSHIP; REQUEST TO REZONE THE SUBJECT 6.56-ACRE PROPERTY FROM M-2, LIGHT INDUSTRIAL, TO M-1, HEAVY INDUSTRIAL. THE PROPERTY IS LOCATED AT 12751 RANDOLPH RIDGE LANE, APPROXIMATELY 3,529 FEET WEST OF THE INTERSECTION OF RANDOLPH RIDGE AND BALLS FORD ROAD. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 7497-73-1762, AND IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN. BRENTSVILLE MAGISTERIAL DISTRICT.",M-2,M-1,6.56,,,,,,
REZ2016-00006,54515,,"CARTER'S GROVE - THIS IS A REQUEST TO REZONE THE SUBJECT SITE FROM A-1, AGRICULTURAL, TO SR-1, SEMI-RURAL RESIDENTIAL, TO ALLOW FOR A PROPOSED DEVELOPMENT OF 33 SINGLE  FAMILY UNITS. THE PROPERTY IS LOCATED AT 13770 SPRIGGS ROAD, ON THE SOUTH SIDE OF THE SPRIGGS ROAD NEAR ITS INTERSECTION WITH OLENDER PARK COURT. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 7992-82-9817, IS ZONED A-1, AGRICULTURAL, AND IS DESIGNATED SRR, SUBURBAN RURAL RESIDENTIAL, IN THE COMPREHENSIVE PLAN. COLES MAGISTERIAL DISTRICT",A-1,SR-1,,33,,,,,
REZ2016-00010,66903,,"DANFORA PROPERTY; REZ; TO REZONE +/- 0.3429 ACRES FROM A-1, AGRICULTURAL, TO R-4, SUBURBAN RESIDENTIAL, TO ALLOW FOR THE DEVELOPMENT OF A SINGLE-FAMILY DETACHED DWELLING. THE SITE IS DESIGNATED AS SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE NEABSCO MAGISTERIAL DISTRICT.",A-1,R-4,0.34,1,,,,,
